iter	Passed	Remaining
0	158	158342
1	160	80158
2	162	53969
3	163	40829
4	167	33245
5	168	27952
6	170	24187
7	172	21398
8	174	19230
9	176	17471
10	179	16104
11	181	14967
12	183	13940
13	186	13113
14	188	12355
15	190	11690
16	192	11158
17	196	10695
18	197	10219
19	200	9826
20	202	9457
21	204	9098
22	207	8800
23	210	8548
24	212	8272
25	213	8013
26	215	7782
27	217	7545
28	219	7334
29	220	7129
30	222	6969
31	224	6802
32	226	6627
33	227	6469
34	229	6321
35	230	6170
36	231	6026
37	232	5895
38	234	5772
39	236	5667
40	238	5570
41	239	5470
42	241	5367
43	242	5263
44	243	5165
45	244	5072
46	245	4986
47	246	4897
48	248	4815
49	249	4742
50	252	4690
51	253	4626
52	255	4573
53	257	4503
54	258	4438
55	259	4370
56	260	4307
57	261	4249
58	262	4188
59	263	4131
60	265	4091
61	267	4047
62	269	4008
63	270	3963
64	272	3915
65	273	3869
66	275	3829
67	276	3790
68	278	3754
69	281	3738
70	282	3701
71	284	3669
72	285	3629
73	287	3592
74	288	3555
75	289	3518
76	290	3483
77	293	3465
78	295	3448
79	297	3422
80	299	3395
81	301	3376
82	302	3340
83	304	3315
84	305	3284
85	306	3254
86	307	3224
87	308	3200
88	311	3184
89	312	3158
90	313	3131
91	314	3105
92	316	3082
93	317	3059
94	318	3033
95	319	3007
96	320	2981
97	321	2956
98	322	2933
99	324	2919
100	326	2902
101	327	2884
102	329	2866
103	330	2849
104	331	2828
105	332	2805
106	333	2784
107	334	2763
108	335	2741
109	336	2720
110	338	2712
111	340	2696
112	341	2677
113	342	2659
114	343	2642
115	344	2623
116	344	2602
117	345	2584
118	346	2565
119	347	2547
120	348	2528
121	348	2509
122	349	2492
123	350	2474
124	351	2457
125	352	2443
126	353	2432
127	355	2420
128	356	2408
129	357	2393
130	358	2379
131	359	2364
132	360	2350
133	361	2335
134	362	2322
135	363	2308
136	364	2294
137	365	2281
138	366	2268
139	367	2255
140	368	2246
141	369	2234
142	370	2221
143	372	2211
144	373	2199
145	373	2186
146	374	2174
147	375	2162
148	376	2150
149	377	2138
150	378	2127
151	379	2116
152	380	2107
153	381	2096
154	384	2093
155	385	2085
156	386	2076
157	387	2066
158	389	2057
159	390	2048
160	390	2036
161	391	2026
162	392	2017
163	393	2007
164	394	1997
165	395	1987
166	396	1977
167	398	1972
168	400	1967
169	401	1959
170	402	1950
171	403	1940
172	403	1931
173	404	1922
174	405	1912
175	406	1903
176	407	1893
177	408	1884
178	409	1875
179	409	1867
180	410	1858
181	412	1851
182	414	1848
183	415	1842
184	416	1834
185	417	1826
186	418	1817
187	418	1808
188	419	1800
189	420	1792
190	421	1783
191	422	1776
192	422	1767
193	423	1759
194	424	1751
195	425	1743
196	425	1735
197	427	1732
198	429	1729
199	430	1723
200	431	1716
201	432	1709
202	433	1702
203	434	1695
204	435	1688
205	436	1681
206	437	1674
207	438	1667
208	438	1661
209	439	1654
210	440	1647
211	441	1642
212	443	1640
213	445	1635
214	446	1629
215	447	1623
216	448	1616
217	448	1609
218	449	1603
219	450	1597
220	451	1591
221	452	1585
222	453	1579
223	454	1573
224	455	1567
225	456	1562
226	458	1561
227	460	1557
228	461	1552
229	462	1548
230	463	1542
231	464	1537
232	465	1531
233	465	1525
234	467	1520
235	468	1515
236	469	1509
237	469	1504
238	470	1499
239	472	1497
240	474	1493
241	475	1489
242	477	1486
243	478	1481
244	478	1475
245	479	1470
246	480	1464
247	481	1459
248	482	1453
249	483	1449
250	484	1444
251	484	1439
252	486	1436
253	487	1433
254	488	1428
255	489	1423
256	490	1418
257	491	1413
258	492	1409
259	493	1404
260	494	1399
261	495	1394
262	496	1390
263	497	1385
264	498	1381
265	498	1376
266	500	1374
267	502	1372
268	503	1367
269	504	1363
270	505	1358
271	505	1354
272	506	1349
273	507	1345
274	508	1341
275	509	1337
276	510	1332
277	511	1327
278	512	1323
279	512	1318
280	513	1314
281	514	1310
282	516	1309
283	518	1305
284	518	1301
285	519	1297
286	520	1293
287	521	1289
288	522	1285
289	523	1281
290	524	1277
291	525	1273
292	526	1269
293	527	1265
294	528	1262
295	529	1258
296	530	1254
297	532	1253
298	533	1251
299	534	1247
300	535	1243
301	536	1239
302	537	1235
303	538	1231
304	538	1228
305	539	1224
306	540	1220
307	541	1216
308	542	1212
309	543	1209
310	544	1205
311	545	1202
312	546	1200
313	548	1197
314	548	1193
315	549	1189
316	550	1186
317	551	1182
318	552	1178
319	553	1175
320	553	1171
321	554	1168
322	555	1164
323	556	1160
324	557	1157
325	557	1153
326	558	1150
327	559	1146
328	561	1144
329	562	1141
330	563	1138
331	564	1135
332	565	1132
333	566	1129
334	567	1125
335	567	1122
336	568	1119
337	569	1115
338	570	1112
339	571	1108
340	572	1105
341	572	1102
342	573	1098
343	574	1096
344	576	1095
345	577	1092
346	578	1089
347	579	1085
348	580	1082
349	581	1079
350	582	1076
351	582	1073
352	583	1069
353	584	1066
354	585	1063
355	586	1060
356	586	1057
357	587	1054
358	588	1051
359	589	1048
360	591	1047
361	593	1045
362	594	1042
363	594	1039
364	595	1036
365	596	1033
366	597	1030
367	598	1027
368	599	1024
369	600	1021
370	600	1018
371	601	1015
372	602	1012
373	603	1009
374	604	1007
375	605	1005
376	607	1003
377	607	1000
378	608	997
379	609	994
380	610	991
381	611	989
382	612	986
383	613	983
384	613	980
385	614	977
386	615	974
387	616	971
388	617	969
389	617	966
390	618	963
391	619	961
392	621	959
393	623	958
394	624	956
395	625	953
396	625	950
397	626	948
398	627	945
399	628	942
400	629	939
401	630	937
402	630	934
403	631	931
404	632	929
405	633	926
406	634	924
407	636	922
408	637	921
409	638	919
410	639	916
411	640	914
412	641	911
413	642	909
414	643	906
415	644	904
416	645	901
417	646	899
418	646	897
419	647	894
420	648	892
421	649	890
422	651	888
423	652	887
424	653	884
425	654	882
426	655	879
427	656	877
428	657	874
429	658	872
430	659	870
431	659	867
432	660	865
433	661	862
434	662	860
435	663	857
436	664	855
437	665	853
438	667	852
439	668	850
440	669	848
441	670	846
442	671	843
443	672	841
444	672	839
445	673	836
446	674	834
447	675	832
448	676	829
449	677	827
450	677	825
451	678	822
452	679	820
453	681	819
454	682	817
455	683	815
456	684	812
457	685	810
458	685	808
459	686	806
460	687	803
461	688	801
462	689	799
463	689	796
464	690	794
465	691	792
466	692	790
467	693	788
468	694	786
469	696	785
470	697	783
471	698	781
472	699	779
473	700	777
474	701	775
475	701	772
476	702	770
477	703	768
478	704	766
479	705	763
480	706	761
481	706	759
482	707	757
483	708	755
484	711	755
485	713	754
486	714	752
487	715	750
488	716	748
489	717	747
490	718	745
491	719	743
492	720	741
493	722	739
494	722	737
495	723	735
496	725	734
497	727	733
498	728	731
499	729	729
500	730	728
501	732	726
502	733	724
503	733	722
504	734	720
505	735	718
506	736	716
507	737	714
508	739	712
509	741	712
510	742	710
511	743	708
512	744	707
513	746	705
514	747	703
515	748	702
516	749	700
517	750	698
518	751	696
519	752	694
520	753	692
521	755	692
522	757	690
523	759	689
524	761	688
525	762	686
526	763	684
527	763	682
528	764	680
529	765	678
530	766	676
531	767	674
532	768	672
533	769	671
534	771	670
535	773	669
536	775	668
537	776	666
538	777	664
539	778	662
540	779	660
541	779	658
542	780	657
543	781	655
544	782	653
545	783	651
546	786	651
547	788	650
548	790	649
549	792	648
550	793	646
551	794	645
552	795	643
553	796	641
554	798	640
555	800	639
556	802	637
557	803	636
558	805	635
559	806	633
560	807	631
561	808	630
562	809	628
563	810	626
564	811	624
565	812	622
566	813	621
567	814	619
568	816	618
569	819	618
570	820	616
571	821	614
572	822	613
573	823	611
574	824	609
575	825	607
576	826	606
577	827	604
578	828	602
579	830	601
580	832	600
581	834	599
582	835	597
583	836	596
584	837	594
585	838	592
586	839	590
587	840	588
588	840	586
589	841	584
590	842	582
591	843	581
592	845	579
593	847	578
594	848	577
595	850	576
596	850	574
597	851	572
598	852	570
599	853	568
600	854	567
601	855	565
602	856	563
603	856	561
604	858	560
605	860	559
606	862	558
607	864	557
608	865	555
609	866	553
610	867	552
611	867	550
612	868	548
613	869	546
614	870	545
615	871	543
616	873	542
617	875	540
618	877	539
619	879	538
620	880	537
621	881	535
622	882	533
623	883	532
624	884	530
625	885	528
626	886	527
627	886	525
628	888	523
629	890	522
630	891	521
631	893	520
632	894	518
633	895	517
634	896	515
635	897	513
636	898	511
637	899	510
